City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
144,Braniewo,54.3797,19.8196,59.32,75,100,10.51,PL,light rain,2022-07-31 02:33:10
145,Lompoc,34.6391,-120.4579,80.74,87,0,14.97,US,clear sky,2022-07-31 02:34:24
146,Quelimane,-17.8786,36.8883,62.55,94,0,0.0,MZ,fog,2022-07-31 02:35:31
147,Vallenar,-28.5708,-70.7581,55.22,79,0,2.1,CL,clear sky,2022-07-31 02:35:32
148,Biscarrosse,44.3945,-1.1672,62.55,100,0,5.75,FR,clear sky,2022-07-31 02:35:32
149,Hamilton,39.1834,-84.5333,72.88,73,0,0.0,US,clear sky,2022-07-31 02:33:54
150,Mutenice,48.9041,17.0292,65.14,88,95,14.76,CZ,light rain,2022-07-31 02:35:33
151,Nanfeng,23.7434,111.7959,95.34,45,11,0.45,CN,few clouds,2022-07-31 02:35:34
152,Kislovodsk,43.9133,42.7208,56.84,73,0,5.7,RU,clear sky,2022-07-31 02:35:34
153,Klaksvik,62.2266,-6.589,52.72,79,5,16.67,FO,clear sky,2022-07-31 02:28:09
154,Tiksi,71.6872,128.8694,52.34,71,100,4.25,RU,overcast clouds,2022-07-31 02:35:35
155,Taoudenni,22.6783,-3.9836,92.28,35,85,15.75,ML,overcast clouds,2022-07-31 02:35:35
156,Guira De Melena,22.7906,-82.5053,77.61,86,83,11.56,CU,broken clouds,2022-07-31 02:35:36
157,Fort Nelson,58.8053,-122.7002,69.39,60,75,2.3,CA,broken clouds,2022-07-31 02:30:52
158,Mount Gambier,-37.8333,140.7667,49.91,87,100,17.27,AU,light rain,2022-07-31 02:35:36
159,Saskylakh,71.9167,114.0833,52.66,94,100,9.69,RU,light rain,2022-07-31 02:35:37
160,Shihezi,44.3,86.0333,83.64,35,28,1.39,CN,scattered clouds,2022-07-31 02:35:37
161,Severo-Kurilsk,50.6789,156.125,56.84,82,23,8.3,RU,few clouds,2022-07-31 02:30:45
162,Matay,28.419,30.7792,77.68,40,3,7.31,EG,clear sky,2022-07-31 02:35:38
163,El Carrizo,24.0261,-106.8814,80.47,76,17,1.52,MX,few clouds,2022-07-31 02:35:39
164,Rassvet,46.8333,40.75,69.67,75,18,3.8,RU,few clouds,2022-07-31 02:35:39
165,Pacifica,37.6138,-122.4869,67.42,92,75,18.41,US,mist,2022-07-31 02:34:07
166,Naze,28.3667,129.4833,85.12,85,90,27.92,JP,light rain,2022-07-31 02:28:15
167,Tokur,53.1333,132.9,76.17,57,16,0.56,RU,light rain,2022-07-31 02:35:40
168,Andreyevka,55.9803,37.135,55.09,76,0,2.24,RU,clear sky,2022-07-31 02:35:40
169,Qaanaaq,77.484,-69.3632,41.23,67,19,2.33,GL,few clouds,2022-07-31 02:35:41
170,Pergamino,-33.89,-60.5736,52.92,68,89,1.99,AR,overcast clouds,2022-07-31 02:35:41
171,Aklavik,68.2191,-135.0107,53.1,63,100,10.42,CA,overcast clouds,2022-07-31 02:28:17
172,Nizhniy Tsasuchey,50.5167,115.1333,77.11,42,4,6.62,RU,clear sky,2022-07-31 02:35:42
173,Beyneu,45.3167,55.2,83.57,36,28,5.61,KZ,scattered clouds,2022-07-31 02:35:43
174,Petropavlovsk-Kamchatskiy,53.0452,158.6483,55.99,100,75,8.95,RU,light rain,2022-07-31 02:35:43
175,Contai,21.7786,87.7536,88.02,69,100,13.42,IN,overcast clouds,2022-07-31 02:35:43
176,Buchanan,5.8808,-10.0467,74.05,80,13,6.04,LR,few clouds,2022-07-31 02:35:44
177,Celestun,20.8667,-90.4,76.87,86,70,15.17,MX,broken clouds,2022-07-31 02:35:44
178,Tooele,40.5308,-112.2983,90.25,32,0,0.0,US,clear sky,2022-07-31 02:34:33
179,Komsomolskiy,40.4272,71.7189,79.52,41,99,4.61,UZ,overcast clouds,2022-07-31 02:35:45
180,Adrar,20.5022,-10.0711,88.59,40,5,7.58,MR,clear sky,2022-07-31 02:35:46
181,Umm Kaddadah,13.6017,26.6876,83.05,58,55,11.01,SD,broken clouds,2022-07-31 02:35:46
182,Bredasdorp,-34.5322,20.0403,44.8,85,15,4.41,ZA,few clouds,2022-07-31 02:32:07
183,Yar-Sale,66.8333,70.8333,54.82,58,56,11.81,RU,broken clouds,2022-07-31 02:35:42
184,Lasa,46.6166,10.7002,61.68,82,15,5.99,IT,few clouds,2022-07-31 02:36:47
185,Hailey,43.5196,-114.3153,82.89,32,0,11.5,US,clear sky,2022-07-31 02:36:47
186,Diamantino,-14.4086,-56.4461,68.41,46,5,1.74,BR,clear sky,2022-07-31 02:28:16
187,Constitucion,-35.3333,-72.4167,50.83,90,84,4.25,CL,broken clouds,2022-07-31 02:36:48
188,Mehamn,71.0357,27.8492,51.71,100,100,5.75,NO,light intensity drizzle,2022-07-31 02:36:48
189,Hasaki,35.7333,140.8333,99.28,66,3,6.06,JP,clear sky,2022-07-31 02:36:49
190,Xichang,27.8964,102.2634,71.73,83,90,3.65,CN,overcast clouds,2022-07-31 02:36:50
191,Banjar,-8.19,114.9675,83.34,60,100,2.04,ID,overcast clouds,2022-07-31 02:29:28
192,Kuching,1.55,110.3333,79.02,89,20,5.99,MY,few clouds,2022-07-31 02:36:50
193,Vila Velha,-20.3297,-40.2925,69.75,64,100,8.05,BR,overcast clouds,2022-07-31 02:29:33
194,Natal,-5.795,-35.2094,79.02,89,75,11.5,BR,broken clouds,2022-07-31 02:36:27
195,Nouadhibou,20.931,-17.0347,71.58,88,71,8.05,MR,broken clouds,2022-07-31 02:36:51
196,Impfondo,1.6381,18.0667,69.17,77,66,2.57,CG,broken clouds,2022-07-31 02:36:52
197,Bintulu,3.1667,113.0333,82.81,78,40,5.01,MY,scattered clouds,2022-07-31 02:36:52
198,Benguela,-12.5763,13.4055,65.91,86,51,1.7,AO,broken clouds,2022-07-31 02:35:52
199,Karratha,-20.7377,116.8463,79.83,33,5,11.23,AU,clear sky,2022-07-31 02:36:53
200,Amapa,1.0,-52.0,71.42,99,79,2.44,BR,broken clouds,2022-07-31 02:36:53
201,Karasjok,69.4719,25.5112,48.0,80,100,5.57,NO,overcast clouds,2022-07-31 02:29:30
202,Mahur,25.1667,93.1167,72.93,95,98,3.58,IN,overcast clouds,2022-07-31 02:36:54
203,Dori,14.0354,-0.0345,84.22,54,67,8.28,BF,light rain,2022-07-31 02:36:54
204,Atasu,48.6814,71.6433,68.47,60,92,6.15,KZ,overcast clouds,2022-07-31 02:36:55
205,Bluff,-46.6,168.3333,46.8,77,49,16.26,NZ,scattered clouds,2022-07-31 02:36:47
206,Port Elizabeth,-33.918,25.5701,52.09,77,0,12.66,ZA,clear sky,2022-07-31 02:36:55
207,Beringovskiy,63.05,179.3167,51.55,69,100,5.5,RU,overcast clouds,2022-07-31 02:36:56
208,Caiaponia,-16.9567,-51.8103,66.07,45,60,2.33,BR,broken clouds,2022-07-31 02:36:56
209,Kachug,53.9606,105.8817,62.85,93,100,9.17,RU,light rain,2022-07-31 02:36:57
210,Chokurdakh,70.6333,147.9167,68.72,42,1,6.85,RU,clear sky,2022-07-31 02:29:26
211,Jasper,37.2001,-94.3502,75.25,90,40,3.44,US,scattered clouds,2022-07-31 02:36:57
212,Inta,66.0317,60.1659,63.1,56,49,14.38,RU,scattered clouds,2022-07-31 02:36:58
213,Arlit,18.7369,7.3853,92.07,12,20,7.0,NE,few clouds,2022-07-31 02:36:58
214,Tessalit,20.1986,1.0114,84.79,45,77,10.56,ML,broken clouds,2022-07-31 02:36:59
215,Hit,33.6416,42.8251,92.14,12,47,4.07,IQ,scattered clouds,2022-07-31 02:36:59
216,Okha,53.5739,142.9478,61.25,64,98,10.74,RU,overcast clouds,2022-07-31 02:37:00
217,Russell,32.3502,-85.1999,83.8,94,0,0.0,US,clear sky,2022-07-31 02:32:50
218,Castro,-24.7911,-50.0119,45.37,78,7,3.42,BR,clear sky,2022-07-31 02:37:00
219,Poum,-20.2333,164.0167,72.37,73,40,21.52,NC,scattered clouds,2022-07-31 02:37:01
220,Palmer,42.1584,-72.3287,70.97,80,0,0.0,US,clear sky,2022-07-31 02:37:01
221,Portland,45.5234,-122.6762,99.18,34,20,12.66,US,few clouds,2022-07-31 02:37:02
222,Hun,29.1268,15.9477,77.99,57,2,2.17,LY,clear sky,2022-07-31 02:37:02
223,Belaya Gora,68.5333,146.4167,71.51,48,37,5.75,RU,scattered clouds,2022-07-31 02:37:03
224,Pevek,69.7008,170.3133,50.11,58,17,8.79,RU,few clouds,2022-07-31 02:33:11
225,Chuy,-33.6971,-53.4616,47.62,82,17,4.03,UY,few clouds,2022-07-31 02:37:04
226,Chifeng,42.2683,118.9636,85.23,48,23,7.09,CN,few clouds,2022-07-31 02:37:04
227,Maningrida,-12.0667,134.2667,85.23,49,40,11.59,AU,scattered clouds,2022-07-31 02:37:05
228,Upernavik,72.7868,-56.1549,46.15,75,100,6.15,GL,overcast clouds,2022-07-31 02:35:33
229,Mahebourg,-20.4081,57.7,70.25,73,40,17.27,MU,scattered clouds,2022-07-31 02:35:33
230,Puerto Ayora,-0.7393,-90.3518,71.55,86,48,1.99,EC,scattered clouds,2022-07-31 02:38:06
231,Newport,51.5877,-2.9984,66.31,91,100,16.73,GB,overcast clouds,2022-07-31 02:38:06
232,Ulladulla,-35.35,150.4667,61.3,49,100,7.16,AU,overcast clouds,2022-07-31 02:35:18
233,Walvis Bay,-22.9575,14.5053,53.1,93,1,4.61,NA,clear sky,2022-07-31 02:38:07
234,Weiser,44.251,-116.9693,100.6,27,33,1.01,US,scattered clouds,2022-07-31 02:38:07
235,Barcelona,41.3888,2.159,79.32,79,0,4.61,ES,clear sky,2022-07-31 02:35:10
236,Cabo San Lucas,22.8909,-109.9124,87.62,62,40,9.22,MX,scattered clouds,2022-07-31 02:37:26
237,Maloy,61.9353,5.1136,55.13,89,100,13.85,NO,light rain,2022-07-31 02:38:08
